ID,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE
11742-20110316,4632 W FULLERTON AVE 1ST ,CHICAGO,IL,60639,31,23,25,41.92439152,-87.7431033
1953640-20101116,835 N ASHLAND AVE 1 ,CHICAGO,IL,60622,1,40,12,41.89713189,-87.66717396
72073-20100916,2059 W GRAND AVE 1ST ,CHICAGO,IL,60612,26,35,12,41.89067589,-87.6792269
1821882-20100916,125 S WACKER DR 17 1750,CHICAGO,IL,60606,2,12,1,41.88001343,-87.63657238
1965014-20101116,1811 W NORTH AVE 3 301B,CHICAGO,IL,60622,1,21,14,41.91044395,-87.67305724
1960233-20110316,750 N RUSH ST 1ST ,CHICAGO,IL,60611,42,19,18,41.89645531,-87.62564517
1892562-20110316,445 E OHIO ST 3RD 370,CHICAGO,IL,60611,42,66,18,41.89255916,-87.61605888
1968765-20101116,1811 W NORTH AVE 3RD 302,CHICAGO,IL,60622,1,21,14,41.91044395,-87.67305724
1893529-20100916,205 W WACKER DR 17 1700,CHICAGO,IL,60606,42,9,1,41.8867073,-87.63415039
1954813-20101116,1504 N WESTERN AVE  1N,CHICAGO,IL,60622,1,32,14,41.90869425,-87.68732608
1954902-20101116,5356 W DEVON AVE 1 ,CHICAGO,IL,60646,45,5,16,41.99744022,-87.7629514
1892985-20110316,444 N MICHIGAN AVE 15TH AND 16TH 1600,CHICAGO,IL,60611,42,48,18,41.89071448,-87.62426987
76969-20110316,900 N MICHIGAN AVE GROND ,CHICAGO,IL,60611,42,61,18,41.8992486,-87.62427498
1888377-20100916,311 S WACKER DR 55 5500,CHICAGO,IL,60606,2,12,1,41.87779165,-87.63652434
1959296-20101116,2019 W DIVISION ST 1ST ,CHICAGO,IL,60622,1,3,12,41.90306685,-87.67805833
1959455-20101116,1448 N WESTERN AVE 1ST A&B,CHICAGO,IL,60622,1,32,14,41.90811454,-87.68730954
1879313-20100916,233 S WACKER DR 54TH 5401,CHICAGO,IL,60606,2,12,1,41.87856015,-87.63652387
1981213-20101116,2701-2703 W CHICAGO AVE 1ST ,CHICAGO,IL,60622,26,33,12,41.8955581,-87.69429683
1771828-20110316,198 E DELAWARE PL 3 ,CHICAGO,IL,60611,42,35,18,41.89935174,-87.62198691
48816-20110316,102 E OAK ST  1,CHICAGO,IL,60611,42,24,18,41.9009027,-87.62554478
1960015-20101116,1573 N MILWAUKEE AVE 1ST ,CHICAGO,IL,60622,1,8,14,41.91017884,-87.67692887
59362-20110316,5434 W FULLERTON AVE # OFFIC,CHICAGO,IL,60639,30,35,25,41.92413391,-87.76251816
1963693-20101116,2950 W CHICAGO AVE 2ND 201,CHICAGO,IL,60622,26,21,12,41.89572425,-87.70100974
43297-20110316,1959 E 71ST ST  1,CHICAGO,IL,60649,5,42,3,41.76595816,-87.57643407
1964027-20101116,1552 N ASHLAND AVE 1ST ,CHICAGO,IL,60622,1,25,14,41.91038379,-87.66783246
1964208-20101116,1579 N MILWAUKEE AVE 2ND 211,CHICAGO,IL,60622,1,8,14,41.91029087,-87.67709562
2129651-20111129,3032 W CERMAK RD 1ST FLOOR 1,CHICAGO,IL,60623,24,53,10,41.85192787,-87.70171642
61410-20100916,200 W MADISON ST  910,CHICAGO,IL,60606,42,9,1,41.88205499,-87.6338999
1277371-20110316,700 E GRAND AVE  127,CHICAGO,IL,60611,,,18,41.89224916,-87.60951805
49397-20100916,101 N WACKER DR  ,CHICAGO,IL,60606,42,9,1,41.88323435,-87.63664906
1894083-20110316,200 E OHIO ST 4TH 400,CHICAGO,IL,60611,42,41,18,41.89267129,-87.6225722
12966-20100916,130 N CAMPBELL AVE  ,CHICAGO,IL,60612,2,52,12,41.88387213,-87.6886978
1969262-20101116,6430 N CENTRAL AVE 2ND 202,CHICAGO,IL,60646,41,44,16,41.99823772,-87.76361791
1975453-20101116,1925 W DIVISION ST 1 ,CHICAGO,IL,60622,1,3,12,41.90310372,-87.67589087
1987110-20110316,401 E ONTARIO ST GROUND ,CHICAGO,IL,60611,42,65,18,41.8933413,-87.61758915
1974468-20101116,5967 N ELSTON AVE GROUND 1,CHICAGO,IL,60646,45,3,16,41.98980357,-87.77732972
1772243-20110316,875 N MICHIGAN AVE  2945,CHICAGO,IL,60611,42,43,18,41.89894854,-87.62397499
1979585-20101116,6232 N PULASKI RD 4TH 403,CHICAGO,IL,60646,39,47,17,41.99468013,-87.72903914
1905004-20110316,550 N RUSH ST 1ST-3RD ,CHICAGO,IL,60611,42,22,18,41.8924821,-87.62553911
1888146-20110316,875 N MICHIGAN AVE 38 3810,CHICAGO,IL,60611,42,43,18,41.89894854,-87.62397499
1878408-20100916,311 S WACKER DR 43RD 4300,CHICAGO,IL,60606,2,12,1,41.87779165,-87.63652434
1887535-20110316,875 N MICHIGAN AVE 26 2650,CHICAGO,IL,60611,42,43,18,41.89894854,-87.62397499
80747-20110316,455 N CITYFRONT PLAZA DR  ,CHICAGO,IL,60611,42,53,18,41.89000134,-87.62143869
39205-20100916,3006 W ROOSEVELT RD 1ST ,CHICAGO,IL,60612,28,54,11,41.86656203,-87.70112683
